Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,concept:name,defectFixed,defectType,lifecycle:transition,numberRepairs,org:resource,phoneType
1002,Analyze Defect,Tester2,1970/01/22 21:40:00.000,1970/01/22 21:50:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Analyze Defect,,3,complete,,Tester2,T3
1002,Repair (Simple),SolverS3,1970/01/22 22:12:00.000,1970/01/22 22:32:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Repair (Simple),,,complete,,SolverS3,
1002,Inform User,System,1970/01/22 22:26:00.000,1970/01/22 22:26:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Inform User,,,complete,,System,
1002,Test Repair,Tester4,1970/01/22 22:32:00.000,1970/01/22 22:40:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Test Repair,true,,complete,1,Tester4,
1002,End,End,1970/01/22 22:40:00.000,1970/01/22 22:40:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,End,End,End,complete,End,End,End
1003,Register,System,1970/01/22 06:43:00.000,1970/01/22 06:43:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Register,,,complete,,System,
1003,Analyze Defect,Tester5,1970/01/22 06:43:00.000,1970/01/22 06:49:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Analyze Defect,,1,complete,,Tester5,T3
1003,Repair (Simple),SolverS1,1970/01/22 07:08:00.000,1970/01/22 07:14:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Repair (Simple),,,complete,,SolverS1,
1003,Test Repair,Tester6,1970/01/22 07:14:00.000,1970/01/22 07:20:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Test Repair,false,,complete,1,Tester6,
1003,Inform User,System,1970/01/22 07:19:00.000,1970/01/22 07:19:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Inform User,,,complete,,System,
1003,Restart Repair,System,1970/01/22 07:27:00.000,1970/01/22 07:27:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Restart Repair,,,complete,,System,
1003,Repair (Simple),SolverS3,1970/01/22 07:27:00.000,1970/01/22 07:41:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Repair (Simple),,,complete,,SolverS3,
1003,Test Repair,Tester6,1970/01/22 07:41:00.000,1970/01/22 07:51:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,Test Repair,true,,complete,2,Tester6,
1003,End,End,1970/01/22 07:51:00.000,1970/01/22 07:51:00.000,Variant 35,35,Fluxicon Disco,Variant 35,35,End,End,End,complete,End,End,End
1004,Register,System,1970/01/22 10:27:00.000,1970/01/22 10:27:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Register,,,complete,,System,
1004,Analyze Defect,Tester1,1970/01/22 10:27:00.000,1970/01/22 10:34:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Analyze Defect,,1,complete,,Tester1,T1
1004,Repair (Simple),SolverS2,1970/01/22 10:40:00.000,1970/01/22 10:51:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Repair (Simple),,,complete,,SolverS2,
1004,Test Repair,Tester5,1970/01/22 10:51:00.000,1970/01/22 11:00:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Test Repair,true,,complete,1,Tester5,
1004,Inform User,System,1970/01/22 11:10:00.000,1970/01/22 11:10:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Inform User,,,complete,,System,
1004,End,End,1970/01/22 11:10:00.000,1970/01/22 11:10:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,End,End,End,complete,End,End,End
1005,Register,System,1970/01/22 00:31:00.000,1970/01/22 00:31:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Register,,,complete,,System,
1005,Analyze Defect,Tester5,1970/01/22 00:31:00.000,1970/01/22 00:40:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Analyze Defect,,3,complete,,Tester5,T2
1005,Repair (Simple),SolverS3,1970/01/22 00:47:00.000,1970/01/22 01:01:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Repair (Simple),,,complete,,SolverS3,
1005,Test Repair,Tester6,1970/01/22 01:01:00.000,1970/01/22 01:11:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Test Repair,true,,complete,1,Tester6,
1005,Inform User,System,1970/01/22 01:16:00.000,1970/01/22 01:16:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Inform User,,,complete,,System,
1005,End,End,1970/01/22 01:16:00.000,1970/01/22 01:16:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,End,End,End,complete,End,End,End
1006,Register,System,1970/01/22 13:34:00.000,1970/01/22 13:34:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Register,,,complete,,System,
1006,Analyze Defect,Tester3,1970/01/22 13:34:00.000,1970/01/22 13:40:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Defect,,7,complete,,Tester3,T3
1006,Repair (Complex),SolverC3,1970/01/22 13:54:00.000,1970/01/22 14:34:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Repair (Complex),,,complete,,SolverC3,
1006,Inform User,System,1970/01/22 14:27:00.000,1970/01/22 14:27:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Inform User,,,complete,,System,
1006,Test Repair,Tester5,1970/01/22 14:34:00.000,1970/01/22 14:44:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Test Repair,true,,complete,0,Tester5,
1006,End,End,1970/01/22 14:44:00.000,1970/01/22 14:44:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,End,End,End,complete,End,End,End
1007,Register,System,1970/01/21 18:27:00.000,1970/01/21 18:27:00.000,Variant 29,29,Fluxicon Disco,Variant 29,29,Register,,,complete,,System,
1007,Analyze Defect,Tester6,1970/01/21 18:27:00.000,1970/01/21 18:33:00.000,Variant 29,29,Fluxicon Disco,Variant 29,29,Analyze Defect,,2,complete,,Tester6,T1
1007,Inform User,System,1970/01/21 18:51:00.000,1970/01/21 18:51:00.000,Variant 29,29,Fluxicon Disco,Variant 29,29,Inform User,,,complete,,System,
1007,Repair (Simple),SolverS3,1970/01/21 18:54:00.000,1970/01/21 19:14:00.000,Variant 29,29,Fluxicon Disco,Variant 29,29,Repair (Simple),,,complete,,SolverS3,
1007,Test Repair,Tester3,1970/01/21 19:14:00.000,1970/01/21 19:19:00.000,Variant 29,29,Fluxicon Disco,Variant 29,29,Test Repair,true,,complete,1,Tester3,
1007,End,End,1970/01/21 19:19:00.000,1970/01/21 19:19:00.000,Variant 29,29,Fluxicon Disco,Variant 29,29,End,End,End,complete,End,End,End
1008,Register,System,1970/01/22 03:25:00.000,1970/01/22 03:25:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Register,,,complete,,System,
1008,Analyze Defect,Tester5,1970/01/22 03:25:00.000,1970/01/22 03:32:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Analyze Defect,,2,complete,,Tester5,T3
1008,Repair (Simple),SolverS1,1970/01/22 03:56:00.000,1970/01/22 04:02:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Repair (Simple),,,complete,,SolverS1,
1008,Inform User,System,1970/01/22 04:00:00.000,1970/01/22 04:00:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Inform User,,,complete,,System,
1008,Test Repair,Tester1,1970/01/22 04:02:00.000,1970/01/22 04:07:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Test Repair,false,,complete,1,Tester1,
1008,Restart Repair,System,1970/01/22 04:14:00.000,1970/01/22 04:14:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Restart Repair,,,complete,,System,
1008,Repair (Simple),SolverS1,1970/01/22 04:14:00.000,1970/01/22 04:21:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Repair (Simple),,,complete,,SolverS1,
1008,Test Repair,Tester6,1970/01/22 04:21:00.000,1970/01/22 04:30:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Test Repair,false,,complete,2,Tester6,
1008,Restart Repair,System,1970/01/22 04:35:00.000,1970/01/22 04:35:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Restart Repair,,,complete,,System,
1008,Repair (Simple),SolverS2,1970/01/22 04:35:00.000,1970/01/22 04:42:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Repair (Simple),,,complete,,SolverS2,
1008,Test Repair,Tester2,1970/01/22 04:42:00.000,1970/01/22 04:47:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Test Repair,true,,complete,3,Tester2,
1008,End,End,1970/01/22 04:47:00.000,1970/01/22 04:47:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,End,End,End,complete,End,End,End
1009,Register,System,1970/01/21 19:59:00.000,1970/01/21 19:59:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Register,,,complete,,System,
1009,Analyze Defect,Tester1,1970/01/21 19:59:00.000,1970/01/21 20:04:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Defect,,7,complete,,Tester1,T2
1009,Repair (Complex),SolverC2,1970/01/21 20:17:00.000,1970/01/21 20:29:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Repair (Complex),,,complete,,SolverC2,
1009,Test Repair,Tester4,1970/01/21 20:29:00.000,1970/01/21 20:36:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Test Repair,true,,complete,0,Tester4,
1009,Inform User,System,1970/01/21 20:46:00.000,1970/01/21 20:46:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Inform User,,,complete,,System,
1009,End,End,1970/01/21 20:46:00.000,1970/01/21 20:46:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,End,End,End,complete,End,End,End
101,Register,System,1970/01/04 03:00:00.000,1970/01/04 03:00:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,Register,,,complete,,System,
101,Analyze Defect,Tester2,1970/01/04 03:00:00.000,1970/01/04 03:05:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,Analyze Defect,,8,complete,,Tester2,T2
101,Inform User,System,1970/01/04 03:31:00.000,1970/01/04 03:31:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,Inform User,,,complete,,System,
101,Repair (Complex),SolverC3,1970/01/04 03:33:00.000,1970/01/04 04:14:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,Repair (Complex),,,complete,,SolverC3,
101,Test Repair,Tester6,1970/01/04 04:14:00.000,1970/01/04 04:24:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,Test Repair,true,,complete,0,Tester6,
101,Archive Repair,System,1970/01/04 04:30:00.000,1970/01/04 04:30:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,Archive Repair,true,,complete,0,System,
101,End,End,1970/01/04 04:30:00.000,1970/01/04 04:30:00.000,Variant 4,4,Fluxicon Disco,Variant 4,4,End,End,End,complete,End,End,End
1010,Register,System,1970/01/22 12:08:00.000,1970/01/22 12:08:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Register,,,complete,,System,
1010,Analyze Defect,Tester1,1970/01/22 12:08:00.000,1970/01/22 12:13:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Analyze Defect,,2,complete,,Tester1,T2
1010,Repair (Simple),SolverS1,1970/01/22 12:30:00.000,1970/01/22 12:37:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Repair (Simple),,,complete,,SolverS1,
1010,Test Repair,Tester6,1970/01/22 12:37:00.000,1970/01/22 12:47:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Test Repair,false,,complete,1,Tester6,
1010,Restart Repair,System,1970/01/22 12:53:00.000,1970/01/22 12:53:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Restart Repair,,,complete,,System,
1010,Repair (Simple),SolverS2,1970/01/22 12:53:00.000,1970/01/22 13:05:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Repair (Simple),,,complete,,SolverS2,
1010,Inform User,System,1970/01/22 12:56:00.000,1970/01/22 12:56:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Inform User,,,complete,,System,
1010,Test Repair,Tester1,1970/01/22 13:05:00.000,1970/01/22 13:10:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,Test Repair,true,,complete,2,Tester1,
1010,End,End,1970/01/22 13:10:00.000,1970/01/22 13:10:00.000,Variant 33,33,Fluxicon Disco,Variant 33,33,End,End,End,complete,End,End,End
1011,Register,System,1970/01/21 18:30:00.000,1970/01/21 18:30:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Register,,,complete,,System,
1011,Analyze Defect,Tester5,1970/01/21 18:30:00.000,1970/01/21 18:39:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Defect,,9,complete,,Tester5,T2
1011,Repair (Complex),SolverC3,1970/01/21 18:43:00.000,1970/01/21 19:33:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Repair (Complex),,,complete,,SolverC3,
1011,Inform User,System,1970/01/21 19:23:00.000,1970/01/21 19:23:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Inform User,,,complete,,System,
1011,Test Repair,Tester5,1970/01/21 19:33:00.000,1970/01/21 19:38:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Test Repair,true,,complete,0,Tester5,
1011,End,End,1970/01/21 19:38:00.000,1970/01/21 19:38:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,End,End,End,complete,End,End,End
1012,Register,System,1970/01/22 00:53:00.000,1970/01/22 00:53:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Register,,,complete,,System,
1012,Analyze Defect,Tester6,1970/01/22 00:53:00.000,1970/01/22 00:58:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Defect,,8,complete,,Tester6,T2
1012,Repair (Complex),SolverC1,1970/01/22 01:17:00.000,1970/01/22 01:32:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Repair (Complex),,,complete,,SolverC1,
1012,Test Repair,Tester6,1970/01/22 01:32:00.000,1970/01/22 01:38:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Test Repair,true,,complete,0,Tester6,
1012,Inform User,System,1970/01/22 01:48:00.000,1970/01/22 01:48:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Inform User,,,complete,,System,
1012,End,End,1970/01/22 01:48:00.000,1970/01/22 01:48:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,End,End,End,complete,End,End,End
1013,Register,System,1970/01/22 02:52:00.000,1970/01/22 02:52:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Register,,,complete,,System,
1013,Analyze Defect,Tester6,1970/01/22 02:52:00.000,1970/01/22 02:58:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Analyze Defect,,9,complete,,Tester6,T3
1013,Repair (Complex),SolverC3,1970/01/22 03:24:00.000,1970/01/22 04:08:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Repair (Complex),,,complete,,SolverC3,
1013,Inform User,System,1970/01/22 03:40:00.000,1970/01/22 03:40:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Inform User,,,complete,,System,
1013,Test Repair,Tester2,1970/01/22 04:08:00.000,1970/01/22 04:18:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,Test Repair,true,,complete,0,Tester2,
1013,End,End,1970/01/22 04:18:00.000,1970/01/22 04:18:00.000,Variant 10,10,Fluxicon Disco,Variant 10,10,End,End,End,complete,End,End,End
1014,Register,System,1970/01/23 02:31:00.000,1970/01/23 02:31:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Register,,,complete,,System,
1014,Analyze Defect,Tester4,1970/01/23 02:31:00.000,1970/01/23 02:40:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Analyze Defect,,3,complete,,Tester4,T1
1014,Repair (Simple),SolverS3,1970/01/23 02:41:00.000,1970/01/23 02:55:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Repair (Simple),,,complete,,SolverS3,
1014,Test Repair,Tester6,1970/01/23 02:55:00.000,1970/01/23 03:03:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Test Repair,true,,complete,1,Tester6,
1014,Inform User,System,1970/01/23 02:58:00.000,1970/01/23 02:58:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,Inform User,,,complete,,System,
1014,End,End,1970/01/23 02:58:00.000,1970/01/23 02:58:00.000,Variant 12,12,Fluxicon Disco,Variant 12,12,End,End,End,complete,End,End,End
1015,Register,System,1970/01/22 07:15:00.000,1970/01/22 07:15:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Register,,,complete,,System,
1015,Analyze Defect,Tester1,1970/01/22 07:15:00.000,1970/01/22 07:24:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Analyze Defect,,10,complete,,Tester1,T1
1015,Repair (Complex),SolverC1,1970/01/22 07:37:00.000,1970/01/22 07:47:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Repair (Complex),,,complete,,SolverC1,
1015,Test Repair,Tester2,1970/01/22 07:47:00.000,1970/01/22 07:54:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Test Repair,true,,complete,0,Tester2,
1015,Inform User,System,1970/01/22 07:55:00.000,1970/01/22 07:55:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,Inform User,,,complete,,System,
1015,End,End,1970/01/22 07:55:00.000,1970/01/22 07:55:00.000,Variant 13,13,Fluxicon Disco,Variant 13,13,End,End,End,complete,End,End,End
1016,Register,System,1970/01/23 00:32:00.000,1970/01/23 00:32:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Register,,,complete,,System,
1016,Analyze Defect,Tester4,1970/01/23 00:32:00.000,1970/01/23 00:42:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Analyze Defect,,5,complete,,Tester4,T3
1016,Repair (Simple),SolverS2,1970/01/23 01:07:00.000,1970/01/23 01:22:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Repair (Simple),,,complete,,SolverS2,
1016,Inform User,System,1970/01/23 01:21:00.000,1970/01/23 01:21:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Inform User,,,complete,,System,
1016,Test Repair,Tester4,1970/01/23 01:22:00.000,1970/01/23 01:29:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Test Repair,false,,complete,1,Tester4,
1016,Restart Repair,System,1970/01/23 01:39:00.000,1970/01/23 01:39:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Restart Repair,,,complete,,System,
1016,Repair (Simple),SolverS1,1970/01/23 01:39:00.000,1970/01/23 01:46:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Repair (Simple),,,complete,,SolverS1,
1016,Test Repair,Tester6,1970/01/23 01:46:00.000,1970/01/23 01:51:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Test Repair,false,,complete,2,Tester6,
1016,Restart Repair,System,1970/01/23 02:01:00.000,1970/01/23 02:01:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Restart Repair,,,complete,,System,
1016,Repair (Simple),SolverS3,1970/01/23 02:01:00.000,1970/01/23 02:14:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Repair (Simple),,,complete,,SolverS3,
1016,Test Repair,Tester3,1970/01/23 02:14:00.000,1970/01/23 02:19:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,Test Repair,true,,complete,3,Tester3,
1016,End,End,1970/01/23 02:19:00.000,1970/01/23 02:19:00.000,Variant 45,45,Fluxicon Disco,Variant 45,45,End,End,End,complete,End,End,End
1017,Register,System,1970/01/22 07:48:00.000,1970/01/22 07:48:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Register,,,complete,,System,
1017,Analyze Defect,Tester1,1970/01/22 07:48:00.000,1970/01/22 07:58:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Analyze Defect,,1,complete,,Tester1,T3
1017,Repair (Simple),SolverS2,1970/01/22 08:28:00.000,1970/01/22 08:41:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Repair (Simple),,,complete,,SolverS2,
1017,Inform User,System,1970/01/22 08:39:00.000,1970/01/22 08:39:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Inform User,,,complete,,System,
1017,Test Repair,Tester3,1970/01/22 08:41:00.000,1970/01/22 08:50:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,Test Repair,true,,complete,1,Tester3,
1017,End,End,1970/01/22 08:50:00.000,1970/01/22 08:50:00.000,Variant 21,21,Fluxicon Disco,Variant 21,21,End,End,End,complete,End,End,End
1018,Register,System,1970/01/23 00:16:00.000,1970/01/23 00:16:00.000,Variant 26,26,Fluxicon Disco,Variant 26,26,Register,,,complete,,System,
1018,Analyze Defect,Tester1,1970/01/23 00:16:00.000,1970/01/23 00:21:00.000,Variant 26,26,Fluxicon Disco,Variant 26,26,Analyze Defect,,10,complete,,Tester1,T2
